k,coherences mean
3,0.46472103297710426
4,0.4376963980495929
5,0.4190797051787377
6,0.4251367285847664
7,0.4228625710521426
8,0.4494791034609079
9,0.43715503745608864
10,0.4549071881175041
11,0.4555741525509141
12,0.47395976458986594
13,0.4445216620197663
14,0.4551408816661153
15,0.45203314572572706
16,0.45334745924919845
17,0.4626094851423712
18,0.4562979163395034
19,0.4631565407702798
20,0.4698978210240603
21,0.4492878898978233
22,0.46552845957604316
23,0.4583548452543176
24,0.4581993076329429
25,0.45846197295188895
26,0.4609780062276583
27,0.4539041289576777
28,0.45337134328271667
29,0.4427934058781328
30,0.45407423555850984
